motif	tf.gene	tf.ensg	pubmedID
MA0002.2	RUNX1	ENSG00000159216	23180794
MA0003.3	TFAP2A	ENSG00000137203	23180794
MA0004.1	ARNT	ENSG00000143437	23180794
MA0006.1	AHR	ENSG00000106546	23180794
MA0006.1	ARNT	ENSG00000143437	23180794
MA0007.3	AR	ENSG00000169083	23180794
MA0009.2	T	ENSG00000164458	23180794
MA0014.2	PAX5	ENSG00000196092	23180794
MA0017.2	NR2F1	ENSG00000175745	23180794
MA0018.2	CREB1	ENSG00000118260	23180794
MA0019.1	DDIT3	ENSG00000175197	23180794
MA0019.1	CEBPA	ENSG00000245848	23180794
MA0024.3	E2F1	ENSG00000101412	23180794
MA0025.1	NFIL3	ENSG00000165030	23180794
MA0027.2	EN1	ENSG00000163064	23180794
MA0028.2	ELK1	ENSG00000126767	23180794
MA0029.1	MECOM	ENSG00000085276	23180794
MA0030.1	FOXF2	ENSG00000137273	23180794
MA0031.1	FOXD1	ENSG00000251493	23180794
MA0032.2	FOXC1	ENSG00000054598	23180794
MA0033.2	FOXL1	ENSG00000176678	23180794
MA0035.3	GATA1	ENSG00000102145	23180794
MA0036.2	GATA2	ENSG00000179348	23180794
MA0037.2	GATA3	ENSG00000107485	23180794
MA0038.1	GFI1	ENSG00000162676	23180794
MA0039.2	KLF4	ENSG00000136826	23180794
MA0040.1	FOXQ1	ENSG00000164379	23180794
MA0041.1	FOXD3	ENSG00000187140	23180794
MA0042.2	FOXI1	ENSG00000168269	23180794
MA0043.2	HLF	ENSG00000108924	23180794
MA0046.2	HNF1A	ENSG00000135100	23180794
MA0047.2	FOXA2	ENSG00000125798	23180794
MA0048.2	NHLH1	ENSG00000171786	23180794
MA0050.2	IRF1	ENSG00000125347	23180794
MA0051.1	IRF2	ENSG00000168310	23180794
MA0052.3	MEF2A	ENSG00000068305	23180794
MA0056.1	MZF1	ENSG00000099326	23180794
MA0057.1	MZF1	ENSG00000099326	23180794
MA0058.3	MAX	ENSG00000125952	23180794
MA0059.1	MAX	ENSG00000125952	23180794
MA0059.1	MYC	ENSG00000136997	23180794
MA0060.2	NFYA	ENSG00000001167	23180794
MA0062.2	GABPA	ENSG00000154727	23180794
MA0063.1	NKX2-5	ENSG00000183072	23180794
MA0065.2	PPARG	ENSG00000132170	23180794
MA0065.2	RXRA	ENSG00000186350	23180794
MA0066.1	PPARG	ENSG00000132170	23180794
MA0067.1	PAX2	ENSG00000075891	23180794
MA0068.2	PAX4	ENSG00000106331	23180794
MA0069.1	PAX6	ENSG00000007372	23180794
MA0070.1	PBX1	ENSG00000185630	23180794
MA0071.1	RORA	ENSG00000069667	23180794
MA0072.1	RORA	ENSG00000069667	23180794
MA0073.1	RREB1	ENSG00000124782	23180794
MA0074.1	RXRA	ENSG00000186350	23180794
MA0074.1	VDR	ENSG00000111424	23180794
MA0075.2	PRRX2	ENSG00000167157	23180794
MA0076.2	ELK4	ENSG00000158711	23180794
MA0077.1	SOX9	ENSG00000125398	23180794
MA0078.1	SOX17	ENSG00000164736	23180794
MA0079.3	SP1	ENSG00000185591	23180794
MA0080.4	SPI1	ENSG00000066336	23180794
MA0081.1	SPIB	ENSG00000269404	23180794
MA0083.3	SRF	ENSG00000112658	23180794
MA0084.1	SRY	ENSG00000184895	23180794
MA0087.1	SOX5	ENSG00000134532	23180794
MA0088.2	ZNF143	ENSG00000166478	23180794
MA0089.1	MAFG	ENSG00000197063	23180794
MA0089.1	NFE2L1	ENSG00000082641	23180794
MA0090.2	TEAD1	ENSG00000187079	23180794
MA0091.1	TAL1	ENSG00000162367	23180794
MA0091.1	TCF3	ENSG00000071564	23180794
MA0092.1	HAND1	ENSG00000113196	23180794
MA0092.1	TCF3	ENSG00000071564	23180794
MA0093.2	USF1	ENSG00000158773	23180794
MA0095.2	YY1	ENSG00000100811	23180794
MA0098.3	ETS1	ENSG00000134954	23180794
MA0099.2	FOS	ENSG00000170345	23180794
MA0099.2	JUN	ENSG00000177606	23180794
MA0100.2	MYB	ENSG00000118513	23180794
MA0101.1	REL	ENSG00000162924	23180794
MA0102.3	CEBPA	ENSG00000245848	23180794
MA0103.2	ZEB1	ENSG00000148516	23180794
MA0104.3	MYCN	ENSG00000134323	23180794
MA0105.4	NFKB1	ENSG00000109320	23180794
MA0106.3	TP53	ENSG00000141510	23180794
MA0107.1	RELA	ENSG00000173039	23180794
MA0108.2	TBP	ENSG00000112592	23180794
MA0109.1	HLTF	ENSG00000071794	23180794
MA0111.1	SPZ1	ENSG00000164299	23180794
MA0112.3	ESR1	ENSG00000091831	23180794
MA0113.3	NR3C1	ENSG00000113580	23180794
MA0114.3	HNF4A	ENSG00000101076	23180794
MA0115.1	NR1H2	ENSG00000131408	23180794
MA0115.1	RXRA	ENSG00000186350	23180794
MA0116.1	ZNF423	ENSG00000102935	23180794
MA0117.2	MAFB	ENSG00000204103	23180794
MA0119.1	NFIC	ENSG00000141905	23180794
MA0119.1	TLX1	ENSG00000107807	23180794
MA0122.2	NKX3-2	ENSG00000109705	23180794
MA0124.2	NKX3-1	ENSG00000167034	23180794
MA0125.1	NOBOX	ENSG00000106410	23180794
MA0130.1	ZNF354C	ENSG00000177932	23180794
MA0131.2	HINFP	ENSG00000172273	23180794
MA0132.2	PDX1	ENSG00000139515	23180794
MA0135.1	LHX3	ENSG00000107187	23180794
MA0136.2	ELF5	ENSG00000135374	23180794
MA0137.3	STAT1	ENSG00000115415	23180794
MA0138.2	REST	ENSG00000084093	23180794
MA0139.1	CTCF	ENSG00000102974	23180794
MA0140.2	GATA1	ENSG00000102145	23180794
MA0140.2	TAL1	ENSG00000162367	23180794
MA0141.3	ESRRB	ENSG00000119715	23180794
MA0142.1	POU5F1	ENSG00000204531	23180794
MA0142.1	SOX2	ENSG00000181449	23180794
MA0143.3	SOX2	ENSG00000181449	23180794
MA0144.2	STAT3	ENSG00000168610	23180794
MA0145.3	TFCP2	ENSG00000135457	23180794
MA0146.2	ZFX	ENSG00000005889	23180794
MA0147.2	MYC	ENSG00000136997	23180794
MA0148.3	FOXA1	ENSG00000129514	23180794
MA0150.2	NFE2L2	ENSG00000116044	23180794
MA0151.1	ARID3A	ENSG00000116017	23180794
MA0152.1	NFATC2	ENSG00000101096	23180794
MA0153.2	HNF1B	ENSG00000275410	23180794
MA0154.3	EBF1	ENSG00000164330	23180794
MA0155.1	INSM1	ENSG00000173404	23180794
MA0156.2	FEV	ENSG00000163497	23180794
MA0157.2	FOXO3	ENSG00000118689	23180794
MA0158.1	HOXA5	ENSG00000106004	23180794
MA0159.1	RARA	ENSG00000131759	23180794
MA0159.1	RXRA	ENSG00000186350	23180794
MA0160.1	NR4A2	ENSG00000153234	23180794
MA0161.1	NFIC	ENSG00000141905	23180794
MA0162.2	EGR1	ENSG00000120738	23180794
MA0163.1	PLAG1	ENSG00000181690	23180794
MA0164.1	NR2E3	ENSG00000278570	23180794
MA0258.2	ESR2	ENSG00000140009	23180794
MA0259.1	ARNT	ENSG00000143437	23180794
MA0259.1	HIF1A	ENSG00000100644	23180794
MA0442.1	SOX10	ENSG00000100146	23180794
MA0461.2	ATOH1	ENSG00000172238	23180794
MA0462.1	BATF	ENSG00000156127	23180794
MA0462.1	JUN	ENSG00000177606	23180794
MA0463.1	BCL6	ENSG00000113916	23180794
MA0464.2	BHLHE40	ENSG00000134107	23180794
MA0465.1	CDX2	ENSG00000165556	23180794
MA0466.2	CEBPB	ENSG00000172216	23180794
MA0467.1	CRX	ENSG00000105392	23180794
MA0468.1	DUX4	ENSG00000260596	23180794
MA0469.2	E2F3	ENSG00000112242	23180794
MA0470.1	E2F4	ENSG00000205250	23180794
MA0471.1	E2F6	ENSG00000169016	23180794
MA0472.2	EGR2	ENSG00000122877	23180794
MA0473.2	ELF1	ENSG00000120690	23180794
MA0474.2	ERG	ENSG00000157554	23180794
MA0475.2	FLI1	ENSG00000151702	23180794
MA0476.1	FOS	ENSG00000170345	23180794
MA0477.1	FOSL1	ENSG00000175592	23180794
MA0478.1	FOSL2	ENSG00000075426	23180794
MA0479.1	FOXH1	ENSG00000160973	23180794
MA0480.1	FOXO1	ENSG00000150907	23180794
MA0481.1	FOXP1	ENSG00000114861	23180794
MA0482.1	GATA4	ENSG00000136574	23180794
MA0483.1	GFI1B	ENSG00000165702	23180794
MA0484.1	HNF4G	ENSG00000164749	23180794
MA0485.1	HOXC9	ENSG00000180806	23180794
MA0486.2	HSF1	ENSG00000185122	23180794
MA0488.1	JUN	ENSG00000177606	23180794
MA0489.1	JUN	ENSG00000177606	23180794
MA0490.1	JUNB	ENSG00000171223	23180794
MA0491.1	JUND	ENSG00000130522	23180794
MA0492.1	JUND	ENSG00000130522	23180794
MA0493.1	KLF1	ENSG00000105610	23180794
MA0494.1	NR1H3	ENSG00000025434	23180794
MA0494.1	RXRA	ENSG00000186350	23180794
MA0495.1	MAFF	ENSG00000185022	23180794
MA0496.1	MAFK	ENSG00000198517	23180794
MA0497.1	MEF2C	ENSG00000081189	23180794
MA0498.2	MEIS1	ENSG00000143995	23180794
MA0499.1	MYOD1	ENSG00000129152	23180794
MA0500.1	MYOG	ENSG00000122180	23180794
MA0501.1	MAF	ENSG00000178573	23180794
MA0501.1	NFE2	ENSG00000123405	23180794
MA0502.1	NFYB	ENSG00000120837	23180794
MA0503.1	NKX2-5	ENSG00000183072	23180794
MA0504.1	NR2C2	ENSG00000177463	23180794
MA0505.1	NR5A2	ENSG00000116833	23180794
MA0506.1	NRF1	ENSG00000106459	23180794
MA0507.1	POU2F2	ENSG00000028277	23180794
MA0508.1	PRDM1	ENSG00000057657	23180794
MA0509.1	RFX1	ENSG00000132005	23180794
MA0510.2	RFX5	ENSG00000143390	23180794
MA0511.2	RUNX2	ENSG00000124813	23180794
MA0512.2	RXRA	ENSG00000186350	23180794
MA0513.1	SMAD2	ENSG00000175387	23180794
MA0513.1	SMAD3	ENSG00000166949	23180794
MA0513.1	SMAD4	ENSG00000141646	23180794
MA0514.1	SOX3	ENSG00000134595	23180794
MA0515.1	SOX6	ENSG00000110693	23180794
MA0516.1	SP2	ENSG00000167182	23180794
MA0517.1	STAT1	ENSG00000115415	23180794
MA0517.1	STAT2	ENSG00000170581	23180794
MA0518.1	STAT4	ENSG00000138378	23180794
MA0519.1	STAT5A	ENSG00000126561	23180794
MA0519.1	STAT5B	ENSG00000173757	23180794
MA0520.1	STAT6	ENSG00000166888	23180794
MA0521.1	TCF12	ENSG00000140262	23180794
MA0522.2	TCF3	ENSG00000071564	23180794
MA0523.1	TCF7L2	ENSG00000148737	23180794
MA0524.2	TFAP2C	ENSG00000087510	23180794
MA0525.2	TP63	ENSG00000073282	23180794
MA0526.1	USF2	ENSG00000105698	23180794
MA0527.1	ZBTB33	ENSG00000177485	23180794
MA0528.1	ZNF263	ENSG00000006194	23180794
MA0591.1	BACH1	ENSG00000156273	23180794
MA0591.1	MAFK	ENSG00000198517	23180794
MA0592.2	ESRRA	ENSG00000173153	23180794
MA0593.1	FOXP2	ENSG00000128573	23180794
MA0594.1	HOXA9	ENSG00000078399	23180794
MA0595.1	SREBF1	ENSG00000072310	23180794
MA0596.1	SREBF2	ENSG00000198911	23180794
MA0597.1	THAP1	ENSG00000131931	23180794
MA0598.2	EHF	ENSG00000135373	23180794
MA0599.1	KLF5	ENSG00000102554	23180794
MA0600.2	RFX2	ENSG00000087903	23180794
MA0601.1	ARID3B	ENSG00000179361	23180794
MA0602.1	ARID5A	ENSG00000196843	23180794
MA0603.1	ARNTL	ENSG00000133794	23180794
MA0604.1	ATF1	ENSG00000123268	23180794
MA0605.1	ATF3	ENSG00000162772	23180794
MA0606.1	NFAT5	ENSG00000102908	23180794
MA0607.1	BHLHA15	ENSG00000180535	23180794
MA0608.1	CREB3L2	ENSG00000182158	23180794
MA0609.1	CREM	ENSG00000095794	23180794
MA0610.1	DMRT3	ENSG00000064218	23180794
MA0612.1	EMX1	ENSG00000135638	23180794
MA0613.1	FOXG1	ENSG00000176165	23180794
MA0614.1	FOXJ2	ENSG00000065970	23180794
MA0615.1	GMEB1	ENSG00000162419	23180794
MA0616.1	HES2	ENSG00000069812	23180794
MA0617.1	ID2	ENSG00000115738	23180794
MA0618.1	LBX1	ENSG00000138136	23180794
MA0619.1	LIN54	ENSG00000189308	23180794
MA0620.1	MITF	ENSG00000187098	23180794
MA0622.1	MLXIP	ENSG00000175727	23180794
MA0623.1	NEUROG1	ENSG00000181965	23180794
MA0624.1	NFATC1	ENSG00000131196	23180794
MA0625.1	NFATC3	ENSG00000072736	23180794
MA0626.1	NPAS2	ENSG00000170485	23180794
MA0627.1	POU2F3	ENSG00000137709	23180794
MA0628.1	POU6F1	ENSG00000184271	23180794
MA0630.1	SHOX	ENSG00000185960	23180794
MA0631.1	SIX3	ENSG00000138083	23180794
MA0632.1	TCFL5	ENSG00000101190	23180794
MA0633.1	TWIST2	ENSG00000233608	23180794
MA0634.1	ALX3	ENSG00000156150	23180794
MA0635.1	BARHL2	ENSG00000143032	23180794
MA0636.1	BHLHE41	ENSG00000123095	23180794
MA0637.1	CENPB	ENSG00000125817	23180794
MA0638.1	CREB3	ENSG00000107175	23180794
MA0639.1	DBP	ENSG00000105516	23180794
MA0640.1	ELF3	ENSG00000163435	23180794
MA0641.1	ELF4	ENSG00000102034	23180794
MA0642.1	EN2	ENSG00000164778	23180794
MA0643.1	ESRRG	ENSG00000196482	23180794
MA0644.1	ESX1	ENSG00000123576	23180794
MA0645.1	ETV6	ENSG00000139083	23180794
MA0646.1	GCM1	ENSG00000137270	23180794
MA0647.1	GRHL1	ENSG00000134317	23180794
MA0648.1	GSC	ENSG00000133937	23180794
MA0649.1	HEY2	ENSG00000135547	23180794
MA0650.1	HOXA13	ENSG00000106031	23180794
MA0651.1	HOXC11	ENSG00000123388	23180794
MA0652.1	IRF8	ENSG00000140968	23180794
MA0653.1	IRF9	ENSG00000213928	23180794
MA0654.1	ISX	ENSG00000175329	23180794
MA0655.1	JDP2	ENSG00000140044	23180794
MA0656.1	JDP2	ENSG00000140044	23180794
MA0657.1	KLF13	ENSG00000169926	23180794
MA0658.1	LHX6	ENSG00000106852	23180794
MA0659.1	MAFG	ENSG00000197063	23180794
MA0660.1	MEF2B	ENSG00000213999	23180794
MA0661.1	MEOX1	ENSG00000005102	23180794
MA0662.1	MIXL1	ENSG00000185155	23180794
MA0663.1	MLX	ENSG00000108788	23180794
MA0664.1	MLXIPL	ENSG00000009950	23180794
MA0665.1	MSC	ENSG00000178860	23180794
MA0666.1	MSX1	ENSG00000163132	23180794
MA0667.1	MYF6	ENSG00000111046	23180794
MA0668.1	NEUROD2	ENSG00000171532	23180794
MA0669.1	NEUROG2	ENSG00000178403	23180794
MA0670.1	NFIA	ENSG00000162599	23180794
MA0671.1	NFIX	ENSG00000008441	23180794
MA0672.1	NKX2-3	ENSG00000119919	23180794
MA0673.1	NKX2-8	ENSG00000136327	23180794
MA0674.1	NKX6-1	ENSG00000163623	23180794
MA0675.1	NKX6-2	ENSG00000148826	23180794
MA0676.1	NR2E1	ENSG00000112333	23180794
MA0677.1	NR2F6	ENSG00000160113	23180794
MA0678.1	OLIG2	ENSG00000205927	23180794
MA0679.1	ONECUT1	ENSG00000169856	23180794
MA0680.1	PAX7	ENSG00000009709	23180794
MA0681.1	PHOX2B	ENSG00000109132	23180794
MA0682.1	PITX1	ENSG00000069011	23180794
MA0683.1	POU4F2	ENSG00000151615	23180794
MA0684.1	RUNX3	ENSG00000020633	23180794
MA0685.1	SP4	ENSG00000105866	23180794
MA0686.1	SPDEF	ENSG00000124664	23180794
MA0687.1	SPIC	ENSG00000166211	23180794
MA0688.1	TBX2	ENSG00000121068	23180794
MA0689.1	TBX20	ENSG00000164532	23180794
MA0690.1	TBX21	ENSG00000073861	23180794
MA0691.1	TFAP4	ENSG00000090447	23180794
MA0692.1	TFEB	ENSG00000112561	23180794
MA0693.1	VDR	ENSG00000111424	23180794
MA0694.1	ZBTB7B	ENSG00000160685	23180794
MA0695.1	ZBTB7C	ENSG00000184828	23180794
MA0696.1	ZIC1	ENSG00000152977	23180794
MA0697.1	ZIC3	ENSG00000156925	23180794
MA0698.1	ZBTB18	ENSG00000179456	23180794
MA0699.1	LBX2	ENSG00000179528	23180794
MA0700.1	LHX2	ENSG00000106689	23180794
MA0701.1	LHX9	ENSG00000143355	23180794
MA0702.1	LMX1A	ENSG00000162761	23180794
MA0703.1	LMX1B	ENSG00000136944	23180794
MA0704.1	LHX4	ENSG00000121454	23180794
MA0705.1	LHX8	ENSG00000162624	23180794
MA0706.1	MEOX2	ENSG00000106511	23180794
MA0707.1	MNX1	ENSG00000130675	23180794
MA0708.1	MSX2	ENSG00000120149	23180794
MA0710.1	NOTO	ENSG00000214513	23180794
MA0711.1	OTX1	ENSG00000115507	23180794
MA0712.1	OTX2	ENSG00000165588	23180794
MA0713.1	PHOX2A	ENSG00000165462	23180794
MA0714.1	PITX3	ENSG00000107859	23180794
MA0715.1	PROP1	ENSG00000175325	23180794
MA0716.1	PRRX1	ENSG00000116132	23180794
MA0717.1	RAX2	ENSG00000173976	23180794
MA0718.1	RAX	ENSG00000134438	23180794
MA0719.1	RHOXF1	ENSG00000101883	23180794
MA0720.1	SHOX2	ENSG00000168779	23180794
MA0721.1	UNCX	ENSG00000164853	23180794
MA0722.1	VAX1	ENSG00000148704	23180794
MA0723.1	VAX2	ENSG00000116035	23180794
MA0724.1	VENTX	ENSG00000151650	23180794
MA0725.1	VSX1	ENSG00000100987	23180794
MA0726.1	VSX2	ENSG00000119614	23180794
MA0727.1	NR3C2	ENSG00000151623	23180794
MA0728.1	NR2F6	ENSG00000160113	23180794
MA0729.1	RARA	ENSG00000131759	23180794
MA0730.1	RARA	ENSG00000131759	23180794
MA0731.1	BCL6B	ENSG00000161940	23180794
MA0732.1	EGR3	ENSG00000179388	23180794
MA0733.1	EGR4	ENSG00000135625	23180794
MA0734.1	GLI2	ENSG00000074047	23180794
MA0735.1	GLIS1	ENSG00000174332	23180794
MA0736.1	GLIS2	ENSG00000126603	23180794
MA0737.1	GLIS3	ENSG00000107249	23180794
MA0738.1	HIC2	ENSG00000169635	23180794
MA0739.1	HIC1	ENSG00000177374	23180794
MA0740.1	KLF14	ENSG00000266265	23180794
MA0741.1	KLF16	ENSG00000129911	23180794
MA0742.1	KLF12	ENSG00000118922	23180794
MA0743.1	SCRT1	ENSG00000261678	23180794
MA0744.1	SCRT2	ENSG00000215397	23180794
MA0745.1	SNAI2	ENSG00000019549	23180794
MA0746.1	SP3	ENSG00000172845	23180794
MA0747.1	SP8	ENSG00000164651	23180794
MA0748.1	YY2	ENSG00000230797	23180794
MA0749.1	ZBED1	ENSG00000214717	23180794
MA0750.1	ZBTB7A	ENSG00000178951	23180794
MA0751.1	ZIC4	ENSG00000174963	23180794
MA0752.1	ZNF410	ENSG00000119725	23180794
MA0753.1	ZNF740	ENSG00000139651	23180794
MA0754.1	CUX1	ENSG00000257923	23180794
MA0755.1	CUX2	ENSG00000111249	23180794
MA0756.1	ONECUT2	ENSG00000119547	23180794
MA0757.1	ONECUT3	ENSG00000205922	23180794
MA0758.1	E2F7	ENSG00000165891	23180794
MA0759.1	ELK3	ENSG00000111145	23180794
MA0760.1	ERF	ENSG00000105722	23180794
MA0761.1	ETV1	ENSG00000006468	23180794
MA0762.1	ETV2	ENSG00000105672	23180794
MA0763.1	ETV3	ENSG00000117036	23180794
MA0764.1	ETV4	ENSG00000175832	23180794
MA0765.1	ETV5	ENSG00000244405	23180794
MA0766.1	GATA5	ENSG00000130700	23180794
MA0767.1	GCM2	ENSG00000124827	23180794
MA0768.1	LEF1	ENSG00000138795	23180794
MA0769.1	TCF7	ENSG00000081059	23180794
MA0770.1	HSF2	ENSG00000025156	23180794
MA0771.1	HSF4	ENSG00000102878	23180794
MA0772.1	IRF7	ENSG00000185507	23180794
MA0773.1	MEF2D	ENSG00000116604	23180794
MA0774.1	MEIS2	ENSG00000134138	23180794
MA0775.1	MEIS3	ENSG00000105419	23180794
MA0776.1	MYBL1	ENSG00000185697	23180794
MA0777.1	MYBL2	ENSG00000101057	23180794
MA0778.1	NFKB2	ENSG00000077150	23180794
MA0779.1	PAX1	ENSG00000125813	23180794
MA0780.1	PAX3	ENSG00000135903	23180794
MA0781.1	PAX9	ENSG00000198807	23180794
MA0782.1	PKNOX1	ENSG00000160199	23180794
MA0783.1	PKNOX2	ENSG00000165495	23180794
MA0784.1	POU1F1	ENSG00000064835	23180794
MA0785.1	POU2F1	ENSG00000143190	23180794
MA0786.1	POU3F1	ENSG00000185668	23180794
MA0787.1	POU3F2	ENSG00000184486	23180794
MA0788.1	POU3F3	ENSG00000198914	23180794
MA0789.1	POU3F4	ENSG00000196767	23180794
MA0790.1	POU4F1	ENSG00000152192	23180794
MA0791.1	POU4F3	ENSG00000091010	23180794
MA0792.1	POU5F1B	ENSG00000212993	23180794
MA0793.1	POU6F2	ENSG00000106536	23180794
MA0794.1	PROX1	ENSG00000117707	23180794
MA0795.1	SMAD3	ENSG00000166949	23180794
MA0796.1	TGIF1	ENSG00000177426	23180794
MA0797.1	TGIF2	ENSG00000118707	23180794
MA0798.1	RFX3	ENSG00000080298	23180794
MA0799.1	RFX4	ENSG00000111783	23180794
MA0800.1	EOMES	ENSG00000163508	23180794
MA0801.1	MGA	ENSG00000174197	23180794
MA0802.1	TBR1	ENSG00000136535	23180794
MA0803.1	TBX15	ENSG00000092607	23180794
MA0804.1	TBX19	ENSG00000143178	23180794
MA0805.1	TBX1	ENSG00000184058	23180794
MA0806.1	TBX4	ENSG00000121075	23180794
MA0807.1	TBX5	ENSG00000089225	23180794
MA0808.1	TEAD3	ENSG00000007866	23180794
MA0809.1	TEAD4	ENSG00000197905	23180794
MA0810.1	TFAP2A	ENSG00000137203	23180794
MA0811.1	TFAP2B	ENSG00000008196	23180794
MA0812.1	TFAP2B	ENSG00000008196	23180794
MA0813.1	TFAP2B	ENSG00000008196	23180794
MA0814.1	TFAP2C	ENSG00000087510	23180794
MA0815.1	TFAP2C	ENSG00000087510	23180794
MA0816.1	ASCL2	ENSG00000183734	23180794
MA0817.1	BHLHE23	ENSG00000125533	23180794
MA0818.1	BHLHE22	ENSG00000180828	23180794
MA0819.1	CLOCK	ENSG00000134852	23180794
MA0820.1	FIGLA	ENSG00000183733	23180794
MA0821.1	HES5	ENSG00000197921	23180794
MA0822.1	HES7	ENSG00000179111	23180794
MA0823.1	HEY1	ENSG00000164683	23180794
MA0824.1	ID4	ENSG00000172201	23180794
MA0825.1	MNT	ENSG00000070444	23180794
MA0826.1	OLIG1	ENSG00000184221	23180794
MA0827.1	OLIG3	ENSG00000177468	23180794
MA0828.1	SREBF2	ENSG00000198911	23180794
MA0829.1	SREBF1	ENSG00000072310	23180794
MA0830.1	TCF4	ENSG00000196628	23180794
MA0831.1	TFE3	ENSG00000068323	23180794
MA0832.1	TCF21	ENSG00000118526	23180794
MA0833.1	ATF4	ENSG00000128272	23180794
MA0834.1	ATF7	ENSG00000170653	23180794
MA0835.1	BATF3	ENSG00000123685	23180794
MA0836.1	CEBPD	ENSG00000221869	23180794
MA0837.1	CEBPE	ENSG00000092067	23180794
MA0838.1	CEBPG	ENSG00000153879	23180794
MA0839.1	CREB3L1	ENSG00000157613	23180794
MA0840.1	CREB5	ENSG00000146592	23180794
MA0841.1	NFE2	ENSG00000123405	23180794
MA0842.1	NRL	ENSG00000129535	23180794
MA0843.1	TEF	ENSG00000167074	23180794
MA0844.1	XBP1	ENSG00000100219	23180794
MA0845.1	FOXB1	ENSG00000171956	23180794
MA0846.1	FOXC2	ENSG00000176692	23180794
MA0847.1	FOXD2	ENSG00000186564	23180794
MA0848.1	FOXO4	ENSG00000184481	23180794
MA0849.1	FOXO6	ENSG00000204060	23180794
MA0850.1	FOXP3	ENSG00000049768	23180794
MA0851.1	FOXJ3	ENSG00000198815	23180794
MA0852.1	FOXK1	ENSG00000164916	23180794
MA0853.1	ALX4	ENSG00000052850	23180794
MA0854.1	ALX1	ENSG00000180318	23180794
MA0855.1	RXRB	ENSG00000204231	23180794
MA0856.1	RXRG	ENSG00000143171	23180794
MA0857.1	RARB	ENSG00000077092	23180794
MA0858.1	RARB	ENSG00000077092	23180794
MA0859.1	RARG	ENSG00000172819	23180794
MA0860.1	RARG	ENSG00000172819	23180794
MA0861.1	TP73	ENSG00000078900	23180794
MA0862.1	GMEB2	ENSG00000101216	23180794
MA0863.1	MTF1	ENSG00000188786	23180794
MA0864.1	E2F2	ENSG00000007968	23180794
MA0865.1	E2F8	ENSG00000129173	23180794
MA0866.1	SOX21	ENSG00000125285	23180794
MA0867.1	SOX4	ENSG00000124766	23180794
MA0868.1	SOX8	ENSG00000005513	23180794
MA0869.1	SOX11	ENSG00000176887	23180794
MA0870.1	SOX1	ENSG00000182968	23180794
MA0871.1	TFEC	ENSG00000105967	23180794
MA0872.1	TFAP2A	ENSG00000137203	23180794
MA0873.1	HOXD12	ENSG00000170178	23180794
MA0874.1	ARX	ENSG00000004848	23180794
MA0875.1	BARX1	ENSG00000131668	23180794
MA0876.1	BSX	ENSG00000188909	23180794
MA0877.1	BARHL1	ENSG00000125492	23180794
MA0878.1	CDX1	ENSG00000113722	23180794
MA0879.1	DLX1	ENSG00000144355	23180794
MA0880.1	DLX3	ENSG00000064195	23180794
MA0881.1	DLX4	ENSG00000108813	23180794
MA0882.1	DLX6	ENSG00000006377	23180794
MA0883.1	DMBX1	ENSG00000197587	23180794
MA0884.1	DUXA	ENSG00000258873	23180794
MA0885.1	DLX2	ENSG00000115844	23180794
MA0886.1	EMX2	ENSG00000170370	23180794
MA0887.1	EVX1	ENSG00000106038	23180794
MA0888.1	EVX2	ENSG00000174279	23180794
MA0889.1	GBX1	ENSG00000164900	23180794
MA0890.1	GBX2	ENSG00000168505	23180794
MA0891.1	GSC2	ENSG00000063515	23180794
MA0892.1	GSX1	ENSG00000169840	23180794
MA0893.1	GSX2	ENSG00000180613	23180794
MA0894.1	HESX1	ENSG00000163666	23180794
MA0895.1	HMBOX1	ENSG00000147421	23180794
MA0896.1	HMX1	ENSG00000215612	23180794
MA0897.1	HMX2	ENSG00000188816	23180794
MA0898.1	HMX3	ENSG00000188620	23180794
MA0899.1	HOXA10	ENSG00000253293	23180794
MA0900.1	HOXA2	ENSG00000105996	23180794
MA0901.1	HOXB13	ENSG00000159184	23180794
MA0902.1	HOXB2	ENSG00000173917	23180794
MA0903.1	HOXB3	ENSG00000120093	23180794
MA0904.1	HOXB5	ENSG00000120075	23180794
MA0905.1	HOXC10	ENSG00000180818	23180794
MA0906.1	HOXC12	ENSG00000123407	23180794
MA0907.1	HOXC13	ENSG00000123364	23180794
MA0908.1	HOXD11	ENSG00000128713	23180794
MA0909.1	HOXD13	ENSG00000128714	23180794
MA0910.1	HOXD8	ENSG00000175879	23180794
MA0911.1	HOXA11	ENSG00000005073	23180794
MA0912.1	HOXD3	ENSG00000128652	23180794
MA0913.1	HOXD9	ENSG00000128709	23180794
MA0914.1	ISL2	ENSG00000159556	23180794
MA1099.1	HES1	ENSG00000114315	23180794
AIRE.p2	AIRE	ENSG00000160224	23180794
ATF6.p2	ATF6	ENSG00000118217	23180794
BPTF.p2	BPTF	ENSG00000171634	23180794
DMAP1_NCOR{1,2}_SMARC.p2	DMAP1	ENSG00000178028	23180794
DMAP1_NCOR{1,2}_SMARC.p2	NCOR1	ENSG00000141027	23180794
DMAP1_NCOR{1,2}_SMARC.p2	NCOR2	ENSG00000196498	23180794
DMAP1_NCOR{1,2}_SMARC.p2	SMARCA1	ENSG00000102038	23180794
DMAP1_NCOR{1,2}_SMARC.p2	SMARCA2	ENSG00000080503	23180794
DMAP1_NCOR{1,2}_SMARC.p2	SMARCA4	ENSG00000127616	23180794
